Start Date,MEURVDD LX Equity,FFSOUYE LX Equity,RUSLCEX NA Equity,FSGLEVI ID Equity,MEREUDE LX Equity,FIEMYAE LX Equity,UBLCOUQ LX Equity,MORIUSE LX Equity,TRPGEMQ LX Equity,ITV LN Equity,LANSNA 0 10/25/2022 Corp,ACMBEVI LX Equity,MONESEU ID Equity,RRTL GY Equity,LGF/A US Equity,RSSEEFE LX Equity,INRG LN Equity,COMGREA ID Equity,VHYD LN Equity,CIT IM Equity,TCMAF NA Equity,FLEINDI LX Equity
2008-01-01,45.970001,,,,81.110001,,,42.76,,85.4,,15.8,,,9.42,,1700.01,11.07,,,,102.76
2008-01-02,46,,,,80.980003,,,42.82,,84.2,,15.53,,,9.33,,1699.3299,10.96,,,,104.65
2008-01-03,45.400002,,,,79.360001,,,42.23,,82.7,,15.5,,,9.31,,1719.52,10.83,,,,104.27
2008-01-04,45.029999,,,,78.510002,,,41.82,,78.1,,15.06,,,9.02,,1669.89,10.64,,,,105.92
2008-01-07,44.990002,,,,78.059998,,,41.03,,77.3,,15.12,,,9.17,,1611.38,10.57,,,,106.21
2008-01-08,45.139999,,,,78.410004,,,41.05,,76,,14.96,,,9.26,,1616.7099,10.72,,,,106.31
2008-01-09,44.529999,,,,77.059998,,,40.07,,72.2,,15.05,,,9.26,,1560.9599,10.53,,,,106.33
2008-01-10,44.279999,,,,76.480003,,,40.14,,69.7,,14.86,,,9.33,,1538.8101,10.4,,,,104.59
2008-01-11,43.970001,,,,75.989998,,,40.35,,68.2,,14.67,,,9.27,,1549.62,10.27,,,,105.38
2008-01-14,44.150002,,,,76.559998,,,39.95,,69.2,,14.85,,,9.3,,1575.23,10.3,,,,105.75
2008-01-15,43.459999,,,,75,,,39.7,,70.1,,14.37,,,9.15,,1484.6899,10,,,,103.27
2008-01-16,42.779999,,,,73.739998,,,38.62,,71.6,,14.23,,,9.25,,1376.9399,10.08,,,,100.51
2008-01-17,42.84,,,,73.970001,,,38.48,,72.2,,13.95,,,9.31,,1376.39,10.09,,,,100.37
2008-01-18,41.990002,,,,72.989998,,,37.74,,72.9,,13.86,,,9.22,,1336.87,10.1,,,,96.23
2008-01-21,39.540001,,,,68.889999,,,37.47,,70.2,,13.05,,,9.22,,1243.35,9.62,,,,88
2008-01-22,38.950001,,,,68.080002,,,36.21,,73.7,,13.51,,,9.16,,1258.4201,9.85,,,,84.37
2008-01-23,38.459999,,,,67.360001,,,36.63,,70.7,,13.27,,,9.54,,1225.6999,9.62,,,,88.73
2008-01-24,40.209999,,,,70.260002,,,38.3,,75.1,,13.77,,,9.39,,1279,9.96,,,,87.17
2008-01-25,40.959999,,,,71.599998,,,39.15,,72.9,,13.55,,,9.43,,1329.13,10,,,,92.73
2008-01-28,39.470001,,,,69.089996,,,37.8,,72,,13.68,,,9.49,,1304.4201,9.88,,,,91.88
2008-01-29,40.099998,,,,70.43,,,38.16,,73.5,,13.89,,,9.29,,1340.15,9.99,,,,91.34
2008-01-30,40.209999,,,,70.730003,,,38.11,,72.4,,13.75,,,9.38,,1318.73,9.92,,,,89.9
2008-01-31,39.450001,,,,69.559998,,,37.89,,72,,13.85,,,9.45,,1301.78,10.04,,,,88.82
2008-02-01,40.66,,,,72.190002,,,39.47,,76.5,,14.08,,,9.45,,1349.53,10.17,,,,91.08
2008-02-04,40.790001,,,,72.519997,,,39.56,,78.6,,13.98,,,9.73,,1393.39,10.1,,,,92.84
2008-02-05,39.849998,,,,70.769997,,,39.01,,74.4,,13.45,,,9.57,,1332.0501,9.82,,,,92.18
2008-02-06,39.349998,,,,69.989998,,,38.1,,76.6,,13.47,,,9.3,,1307.4599,9.92,,,,90.08
2008-02-07,38.849998,,,,69.160004,,,36.93,,73.6,,13.4,,,9.4,,1253.88,9.8,,,,87.4
2008-02-08,39.02,,,,69.5,,,37.99,,71,,13.32,,,9.53,,1271.01,9.85,,,,86.32
2008-02-11,38.549999,,,,68.82,,,38.03,,68.9,,13.28,,,9.51,,1279.99,9.8,,,,81.86
2008-02-12,39.400002,,,,70.269997,,,38.87,,70.7,,13.62,,,9.5,,1346.7099,10.04,,,,82
2008-02-13,40.060001,,,,71.349998,,,38.56,,72,,13.85,,,9.41,,1386.47,10.11,,,,83.56
2008-02-14,40.18,,,,71.720001,,,39.03,,71.1,,13.64,,,9.18,,1394.4599,10.11,,,,87.99
2008-02-15,39.029999,,,,69.739998,,,38.33,,69.4,,13.51,,,9.35,,1362.4,10,,,,89.23
2008-02-18,39.84,,,,71.150002,,,38.39,,70.7,,13.73,,,9.35,,1405.35,10.1,,,,88.97
2008-02-19,40.099998,,,,71.68,,,38.68,,70.9,,13.8,,,9.4,,1401.7099,10.11,,,,88.84
2008-02-20,39.43,,,,70.620003,,,38.01,,70.6,,13.83,,,9.43,,1349.51,10.03,,,,85.72
2008-02-21,40.009998,,,,71.75,,,38.81,,71.8,,13.7,,,9.04,,1370.6601,10.08,,,,86.57
2008-02-22,39.580002,,,,70.910004,,,38.04,,70.2,,13.82,,,9.04,,1338.98,10.09,,,,84.38
2008-02-25,39.639999,,,,71.059998,,,38.26,,71.1,,14.06,,,9,,1355.3101,10.22,,,,85.27
2008-02-26,40.360001,,,,72.389999,,,38.53,,70.9,,14.26,,,9.13,,1365.9399,10.26,,,,86.49
