Start Date,IMMU SS Equity,GLPG US Equity,VASTN NA Equity,EUCMF US Equity,GLPG NA Equity,ZEAL DC Equity,ECMPA NA Equity,WHA NA Equity
2013-04-22,7.184,25.65,34.115,35.5263,19.7,78,28.1131,49.912
2013-04-23,6.8882,26,33.145,35.5263,20.34,78,28.5916,50.1208
2013-04-24,6.4234,26.41,33.265,35.5263,20.45,78,28.8663,47.3363
2013-04-25,6.0008,26.5,33.245,35.5263,20.3,78,28.9942,47.3537
2013-04-26,6.3389,26.425,33.215,35.5263,20.25,78,28.8,47.3102
2013-04-29,6.846,26,33.52,35.5263,19.87,78,29.3305,47.432
2013-04-30,6.6347,26.12,33.895,35.5263,19.85,77.5,29.3874,47.928
2013-05-01,6.6347,26.12,33.895,35.5263,19.85,77,29.3874,47.928
2013-05-02,6.9305,26.12,34.145,35.5263,19.56,79,29.5531,48.163
2013-05-03,6.8037,25.73,34.74,35.5263,19.6,80,29.9605,47.9367
2013-05-06,6.7615,25.78,35.02,35.5263,19.75,80,30.1074,49.5552
2013-05-07,6.846,25.5,34.98,35.5263,19.43,79,30.1263,49.677
2013-05-08,7.0573,25.5,34.8,35.5263,19.41,79,30.0505,49.9555
2013-05-09,7.0573,25.536,34.705,35.5263,19.5,79,29.8326,49.8772
2013-05-10,7.0573,25,34.9,35.5263,19.19,79,29.8326,50.0686
2013-05-13,6.5079,24.63,35.9,35.5263,18.76,78,29.7474,50.2078
2013-05-14,6.5924,23,36.02,35.5263,17.74,78,29.8563,50.4254
2013-05-15,6.4656,22.33,36.045,35.5263,17.35,76,29.8374,50.8517
2013-05-16,6.4234,22.3,35.59,35.5263,17.48,76,29.7237,49.1985
2013-05-17,6.5924,22.403,36,35.5263,17.35,75.5,30.2826,49.8772
2013-05-20,7.8179,22.72,36.085,35.5263,17.71,75.5,30.7989,50.2165
2013-05-21,7.7757,22.72,36.02,35.5263,17.55,75,30.8747,50.2252
2013-05-22,7.4376,22.38,35.25,35.5263,17.49,75,30.1974,49.8076
2013-05-23,7.3953,21.43,34.53,35.5263,16.68,73.5,29.4253,48.3109
2013-05-24,7.3108,21.6,34.58,35.5263,16.65,73.5,29.4253,48.2326
2013-05-27,8.4096,21.6,34.58,35.5263,16.65,73.5,29.5863,48.3631
2013-05-28,8.2405,21.65,35.135,35.5263,16.74,73.5,29.88,48.9635
2013-05-29,7.6489,21.77,35.1,35.5263,16.72,73,29.8137,48.659
2013-05-30,7.7757,21.77,34.825,35.5263,16.76,73,29.3684,48.0934
2013-05-31,7.9025,21.64,34.135,35.5263,16.83,71.5,28.961,47.7279
2013-06-03,8.1137,21.15,33.725,35.5263,16.2,69.5,28.9326,47.7018
2013-06-04,8.0292,21.07,33.93,35.5263,16.2,70,29.0558,47.3537
2013-06-05,8.0292,21,33.225,35.5263,16.15,70,28.2742,46.2225
2013-06-06,8.0292,21.44,32.25,35.5263,16.18,67,27.6347,45.6395
2013-06-07,7.8602,21.34,32.65,35.5263,16.12,65,27.9805,46.1877
2013-06-10,7.8179,21.39,32.665,35.5263,16.19,66.5,28.1037,45.7613
2013-06-11,7.8602,21.15,31.9,35.5263,16.07,65,27.5874,44.8651
2013-06-12,7.5221,21.08,31.905,35.5263,15.91,66.5,27.2037,44.604
2013-06-13,7.7757,20.17,31.255,35.5263,15.1,65.5,26.981,43.7252
2013-06-14,7.8602,20.54,31.68,35.5263,15.09,67,27.3126,43.8122
2013-06-17,7.6066,20.6,31.72,35.5263,15.48,68.5,27.4784,43.9427
2013-06-18,7.5221,20.52,31.81,35.5263,15.39,71,27.4453,43.9862
2013-06-19,7.9447,20.06,32.095,35.5263,15.15,70,27.36,43.7774
2013-06-20,7.9447,18.46,31.23,35.5263,14.12,71.5,26.7584,43.3293
2013-06-21,7.9447,18.65,30.39,35.5263,14.2,71.5,25.721,42.607
2013-06-24,7.6489,18.62,29.785,35.5263,14.21,69.5,25.0295,41.3671
2013-06-25,7.8602,19.24,29.905,35.5263,14.7,68.5,25.4605,42.0937
2013-06-26,7.7757,19.24,30.88,35.5263,14.79,67.5,26.1331,42.8724
2013-06-27,7.7757,19.95,30.955,35.5263,15.24,67,26.1474,42.9595
2013-06-28,7.5644,19.95,31.48,35.5263,15,69,26.7158,43.4163
2013-07-01,7.6912,20.45,31.2,35.5263,15.67,69,26.621,43.0682
2013-07-02,7.8179,20.81,31.835,35.5263,15.91,70,26.7584,43.6208
2013-07-03,7.7757,20.46,31.61,35.5263,15.77,69,26.5263,43.7078
2013-07-04,7.6066,20.46,31.75,35.5263,15.92,68,26.9668,44.2647
2013-07-05,7.8179,20.5,31.48,35.5263,15.89,68,26.7821,44.343
2013-07-08,7.6066,20.82,31.58,35.5263,16.17,68.5,26.9337,44.9521
2013-07-09,7.7334,21.2,32.09,35.5263,16.46,68.5,27.6442,45.6308
2013-07-10,7.5221,21,31.42,35.5263,16.46,68,27.4737,45.3176
2013-07-11,7.7334,21.7,31.58,35.5263,16.59,69,27.9,45.831
2013-07-12,7.5644,21.51,31.505,35.5263,16.5,69.5,27.8431,45.5873
2013-07-15,7.8179,21.54,31.5,35.5263,16.55,70,27.9474,46.0311
2013-07-16,7.8179,22,31.12,35.5263,16.75,68.5,27.3884,45.7178
2013-07-17,7.6066,21.75,30.825,35.5263,16.51,69.5,27.2321,45.6656
2013-07-18,7.8602,21.46,31.04,35.5263,16.4,69.5,27.5731,46.7185
2013-07-19,7.987,21.46,31.445,35.5263,16.28,68.5,27.7342,46.9622
2013-07-22,8.0292,21.5385,31.89,35.5263,16.31,70,27.6774,47.1014
2013-07-23,8.0292,21.8,31.61,35.5263,16.41,69,27.3979,46.849
2013-07-24,8.325,21.8,31.6,35.5263,16.3,69,27.36,46.5271
2013-07-25,8.0292,21.32,31.11,35.5263,15.95,68.5,27.1326,46.6315
2013-07-26,8.0292,21.3,31.23,35.5263,16.08,69,27.2795,46.3269
2013-07-29,7.7757,21.47,31.26,35.5263,16.15,70,27.2558,46.501
2013-07-30,8.156,21.26,31.61,35.5263,16.13,75,27.161,45.9093
2013-07-31,8.156,21.8,32.025,35.5263,16.25,75,27.0805,46.2486
2013-08-01,8.1983,21.48,33.53,35.5263,16.25,72.5,28.0847,46.8229
2013-08-02,8.1983,21.671,33,35.5263,16.23,72.5,27.3647,46.7359
2013-08-05,8.156,21.671,33.1,35.5263,16.5,72.5,27.4737,46.1877
2013-08-06,8.2828,21.901,33.365,35.5263,16.57,73,27.5305,46.2138
2013-08-07,8.325,21.7,33.045,35.5263,16.34,73,27.3268,46.2573
2013-08-08,8.2828,21.619,33.07,35.5263,16.17,73.5,27.2747,46.3618
2013-08-09,8.3673,21.619,32.8,35.5263,15.82,73.5,26.9005,46.1442
2013-08-12,8.325,20.58,32.58,35.4185,15.47,73.5,26.7821,46.0659
2013-08-13,8.2828,21.08,32.335,35.4185,15.98,74,26.8342,46.1355
2013-08-14,8.2828,21.08,32.75,35.4185,15.8,73.5,27.1137,46.1355
2013-08-15,8.7899,20.51,32.905,35.4185,15.48,71,26.8768,45.1696
2013-08-16,9.7196,20.55,32.07,35.4185,15.49,70,27.0947,45.6134
2013-08-19,13.861,20.67,32.35,35.4185,15.55,69,27.2653,45.5264
2013-08-20,15.9739,20.67,32.35,35.4185,15.31,69.5,26.8105,45.2393
2013-08-21,14.7907,20.35,32.27,35.4185,15.21,69,26.4079,45.0217
2013-08-22,14.1145,20.4895,32.355,35.4185,15.31,68.5,26.5263,45.1
2013-08-23,13.861,20.326,32.44,35.4185,15.22,68.5,26.3889,45.1087
2013-08-26,15.0442,20.36,32.4,35.4185,15.2,69.5,26.3842,45.6482
2013-08-27,14.7907,19.97,31.855,35.4185,15.01,69,25.9105,44.5953
2013-08-28,14.6216,19.95,31.435,35.4185,14.94,69,26.0242,44.4822
2013-08-29,16.0585,19.95,31.205,35.4185,14.96,67.5,25.7258,44.3256
2013-08-30,15.9739,20,31.495,35.4185,14.79,64.5,26.7631,43.8383
2013-09-02,16.6501,20,31.93,35.4185,15.14,63.5,26.73,44.3169
2013-09-03,17.4953,19.83,31.095,35.4185,15.16,64,26.2089,43.7426
2013-09-04,22.9889,19.59,31.44,35.4185,14.9,66,26.171,43.7339
2013-09-05,23.6651,19.728,31.87,35.4185,15.13,68,26.3226,43.8644
2013-09-06,30.2575,19.79,31.995,35.4185,15.02,68.5,26.4789,44.1255
2013-09-09,34.9905,19.92,31.67,35.4185,15.1,71.5,26.4031,43.8644
2013-09-10,27.0458,20.61,32.165,35.4185,15.57,73,27.6442,44.7346
2013-09-11,21.7212,20.61,32.5,35.4185,15.5,78,27.881,44.9347
2013-09-12,22.5664,20.53,32.935,35.4185,15.47,66,27.9663,44.9869
2013-09-13,22.1438,20.53,32.85,35.4185,15.31,65,27.9568,45.2567
2013-09-16,21.7212,20.46,33.23,35.4185,15.35,65.5,28.4637,45.8919
2013-09-17,22.3973,19.83,33.095,35.4185,14.9,63,28.4447,46.0572
2013-09-18,22.8199,20.25,32.5,35.4185,14.87,62,27.5116,45.9441
2013-09-19,22.5664,20.39,32.28,35.4185,15.1,62.5,27.8716,46.414
2013-09-20,23.0735,20.39,32.13,35.4185,15.03,62.5,27.6631,46.3008
2013-09-23,27.3839,20.44,31.985,35.4185,15.22,63,27.6631,46.1268
2013-09-24,28.2291,21.48,31.975,35.4185,15.8,61.5,27.6158,46.2225
2013-09-25,25.609,21.15,31.74,35.4185,15.6,60.5,28.0326,46.2921
2013-09-26,27.722,21.26,31.55,35.4185,15.7,60.5,27.791,46.5793
2013-09-27,27.0458,21.33,31.62,35.4185,15.66,60,28.1558,46.6576
2013-09-30,26.7077,21.13,31.46,35.4185,15.6,57.5,28.3595,46.6576
2013-10-01,26.8768,20.99,32,35.4185,15.56,57,28.8568,46.9883
2013-10-02,26.7923,20.99,31.5,35.4185,15.6,56.5,28.6247,47.1536
2013-10-03,26.2006,21.02,31.89,35.4185,15.45,58.5,28.5158,46.8925
2013-10-04,26.2006,20.84,31.795,35.4185,15.42,62,28.8,47.3798
2013-10-07,26.1161,20.659,31.54,35.4185,15.13,60.5,28.7195,46.8577
2013-10-08,24.0877,20.659,31.365,35.4185,15.12,59.5,28.8284,46.8055
2013-10-09,22.6509,20.24,31.3,35.4185,15.05,59,28.9137,46.997
2013-10-10,24.9329,20.24,31.73,35.4185,14.95,60.5,29.3684,47.7627
2013-10-11,25.3555,19.93,31.6,35.4185,14.71,62,29.5579,48.1108
2013-10-14,24.5103,19.756,32.105,35.4185,14.58,62,29.5863,48.3805
2013-10-15,25.778,19.5,32.585,35.4185,14.45,62,29.6526,48.4936
2013-10-16,25.3555,19.8,32.745,35.4185,14.73,62.5,29.411,48.6154
2013-10-17,25.9471,20.35,33.25,35.4185,14.9,62,29.6479,48.8765
