,GSPC,DJI,IXIC,RUT,SSMI,OEX,N225,FTSE
count,5642.0,5642.0,5642.0,5642.0,5629.0,5642.0,5492.0,5663.0
mean,0.025966920095210358,0.025736444114994775,0.03190845837527954,0.035478390536950524,0.01475064066096996,0.022832842434028663,0.017878154395415166,0.009369250128146267
std,1.2429141606999812,1.1907006301723888,1.5949880713388058,1.5551448543800013,1.1442455131404392,1.241407023284838,1.473013933435989,1.1825221933195416
min,-11.984055240393443,-12.926545507355424,-12.321331290147409,-14.272017075902932,-9.637362144905758,-11.568866030688074,-11.40636799528344,-10.873819450353107
5%,-1.8960489987269369,-1.7970786795241804,-2.5973240847771772,-2.3903957840313956,-1.7595372442435653,-1.8997349128020695,-2.2973300403271497,-1.831536113485854
50%,0.06056786317961693,0.04973720903843626,0.09088586392617115,0.08146613825298354,0.054295921818026116,0.05523082827433301,0.04251112975656168,0.04546441722295125
95%,1.7380186625961214,1.6837619076574148,2.3264296810413585,2.3284984548518435,1.6526303493834054,1.7562947332149512,2.2016322877559755,1.7585356986417902
max,11.580036951513705,11.365041199411529,14.173196388926979,9.39146172741423,11.390958009998432,11.243419390830756,14.15031202124255,9.838667019307067
1st Day,03-01-2000,03-01-2000,03-01-2000,03-01-2000,05-01-2000,03-01-2000,05-01-2000,05-01-2000
Last Day,03-06-2022,03-06-2022,03-06-2022,03-06-2022,03-06-2022,03-06-2022,06-06-2022,06-06-2022
